Organization,50
Society,50
Group,50
Bureau,50
Association,50
Friends,50
Club,50
Administration,50
Team,50
Clan,50
League,50
Philanthropists,50
Nations,50
States,50
Cities,50
Schools,50
Race,50
People,50
Team,50
Society,50
Alliance,50
Men,50
Women,50
Boys,50
Girls,50
Humans,50
Concerned Citizens,50
Moms,50
Dads,50
Activists,50
Community,50
People,50
Order,50
Brigade,50
Legion,50
Republicans,50
Democrats,50
Independents,50
Environmentalists,50
Americans,50
Canadians,50
Party,50
College Students,50
Students,50
Citizens,50
Immigrants,50
Taxpayers,50
African-Americans,50
Latinos,50
Asians,50
Whites,50
Blacks,50
New Zealanders,1
Collective,1
Teens,1
Mayors,1
Coalition,1
Army,1
Doctors,1
Lawyers,1
Soldiers,1
Accountants,1
Admiralty Lawyers,1
Adult Literacy and Remedial Education Teachers,1
Advertising Agency Coordinators,1
Aeronautical & Aerospace Engineers,1
Agricultural Engineers,1
Air Crew Officers,1
Air Traffic Controllers,1
Aircraft Assemblers,1
Aircraft Body and Bonded Structure Repairers,1
Ambulance Drivers,1
Alumni Relations Coordinators,1
Animal Breeders,1
Animal Control Workers,1
Anti-Terrorism Intelligence Agents,1
Architecture Professors,1
Area Ethnic and Cultural Studies Professors,1
Armored Assault Vehicle Crew Members,1
Armored Assault Vehicle Officers,1
Art Appraisers,1
Art Directors,1
Art Restorers,1
Art Therapists,1
Art Drama and Music Professors,1
Artillery and Missile Crew Members,1
Artillery and Missile Officers,1
Athletes' Business Managers,1
Athletic Coaches,1
Athletic Directors,1
Athletic Trainers,1
ATM Machine Servicers,1
Atmospheric and Space Scientists,1
Audio-Visual Collections Specialists,1
Audiovisual Production Specialists,1
Automobile Mechanics,1
Automotive Body Repairers,1
Automotive Engineers,1
Automotive Glass Installers,1
Avionics Technicians,1
Baggage Porters and Bellhops,1
Commercial Bakers,1
Ballistics Experts,1
Bank and Branch Managers,1
Bank Examiners,1
Bank Tellers,1
Benefits Managers,1
Bicycle Mechanics,1
Billing Specialists,1
Bindery Machine Set-Up Operators,1
Bindery Machine Tenders,1
Biological Technicians,1
Biology Professors,1
Biomedical Engineers,1
Biomedical Equipment Technicians,1
Boat Builders,1
Book Editors,1
Border Patrol Agents,1
Brattice Builders,1
Bridge and Lock Tenderss,1
Broadcast News Analysts,1
Broadcast Technicians,1
Broker's Floor Representatives,1
Brokerage Clerks,1
Budget Accountants,1
Budget Analysts,1
Building Inspectors,1
Building Maintenance Mechanics,1
Bulldozer / Grader Operators,1
Bus and Truck Mechanics,1
Bus Boys / Bus Girls,1
Bus Drivers (School),1
Bus Drivers (Transit),1
Business Professors,1
Business Service Specialists,1
Cabinet Makers,1
Camp Directors,1
Caption Writers,1
Cardiologists,1
Cardiopulmonary Technologists,1
Career Counselors,1
Cargo and Freight Agents,1
Carpenter's Assistants,1
Carpet Installers,1
Cartographers (Map Scientists),1
Cartographic Technicians,1
Cartoonists (Publications),1
Casino Cage Workers,1
Casino Cashiers,1
Casino Dealers,1
Casino Floor People,1
Casino Managers,1
Casino Pit Bosses,1
Casino Slot Machine Mechanics,1
Casino Surveillance Officers,1
Casting Directors,1
Catering Administrators,1
Ceiling Tile Installers,1
Cement Masons,1
Ceramic Engineers,1
Certified Public Accountants,1
Chaplains,1
